iter	Passed	Remaining
0	1	177
1	3	178
2	5	175
3	6	157
4	8	156
5	9	154
6	11	150
7	12	147
8	14	143
9	15	141
10	16	137
11	18	135
12	19	131
13	20	126
14	21	124
15	23	123
16	24	119
17	25	115
18	26	111
19	27	108
20	28	106
21	29	102
22	29	99
23	30	97
24	31	94
25	32	92
26	33	90
27	34	87
28	34	85
29	35	83
30	36	82
31	37	80
32	38	78
33	39	76
34	40	74
35	40	72
36	41	70
37	42	68
38	42	67
39	43	65
40	44	63
41	44	61
42	44	59
43	45	58
44	46	56
45	47	55
46	47	53
47	48	52
48	49	51
49	49	49
50	50	48
51	51	47
52	52	46
53	52	44
54	53	43
55	53	42
56	54	41
57	55	39
58	55	38
59	56	37
60	57	36
61	57	35
62	58	34
63	59	33
64	59	32
65	60	31
66	61	30
67	61	29
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	72	13
84	73	13
85	74	12
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
